epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.47013387084007263,9.999999747378752e-05,1.0514800548553467,0.6334106922149658,0.887489914894104
1,0.6338825821876526,9.999999747378752e-05,0.8181043863296509,0.6682134866714478,0.7639122009277344
2,0.6699278950691223,9.999999747378752e-05,0.7335892915725708,0.6589326858520508,0.8249594569206238
3,0.6828012466430664,9.999999747378752e-05,0.7089136838912964,0.7053364515304565,0.7457942962646484
4,0.6786817908287048,9.999999747378752e-05,0.6879703998565674,0.6821345686912537,0.7138190269470215
5,0.7173017263412476,9.999999747378752e-05,0.6454464197158813,0.6937354803085327,0.7202175855636597
6,0.705973207950592,9.999999747378752e-05,0.6469941139221191,0.6589326858520508,0.73026043176651
7,0.7178167104721069,9.999999747378752e-05,0.6459035277366638,0.689095139503479,0.6796078681945801
8,0.7317198514938354,9.999999747378752e-05,0.6144391298294067,0.7099767923355103,0.7038896679878235
9,0.7306900024414062,9.999999747378752e-05,0.6068260669708252,0.6983758807182312,0.6620638966560364
10,0.7451081275939941,9.999999747378752e-05,0.575244128704071,0.7238979339599609,0.643191933631897
11,0.7425334453582764,9.999999747378752e-05,0.5845919251441956,0.7122969627380371,0.6932412981987
12,0.7373841404914856,9.999999747378752e-05,0.5939856767654419,0.7146171927452087,0.6692164540290833
13,0.7559217214584351,9.999999747378752e-05,0.5579952597618103,0.7331786751747131,0.6438239812850952
14,0.7651905417442322,4.999999873689376e-05,0.5406163930892944,0.7192575335502625,0.6386605501174927
15,0.7610710859298706,4.999999873689376e-05,0.5332143306732178,0.7424594163894653,0.6318774223327637
16,0.770339846611023,4.999999873689376e-05,0.5277889966964722,0.7447795867919922,0.6570321321487427
17,0.7682801485061646,4.999999873689376e-05,0.5192297101020813,0.7262181043624878,0.6575016975402832
18,0.7821832895278931,4.999999873689376e-05,0.5006850957870483,0.7192575335502625,0.6515753865242004
19,0.7718846797943115,2.499999936844688e-05,0.519530713558197,0.7262181043624878,0.6412081122398376
